1;Das Motto;Wahrheit sag ich euch, Wahrheit und immer Wahrheit, versteht sich:"|"Meine Wahrheit,;denn sonst ist mir auch keine bekannt.
121;Aphorismus;Mit dem Wissen wächst der Zweifel.;Wir erschrecken über unsere eigenen Sünden, wenn wir sie an anderen erblicken.
122;Aphorismus;Niemand versteht zur rechten Zeit! Wenn man zur rechten Zeit verstünde, so wäre die Wahrheit nah und breit und wäre lieblich und gelinde.;Niemand weiß, wie lang er es hat, was er ruhig besitzet.
123;Goldnes Zeitalter;Ob die Menschen im ganzen sich bessern"|" Ich glaub es, denn einzeln"|"Suche man, wie man auch will, sieht man doch gar nichts davon.;Sag, was will das Schicksal uns bereiten?"|"Sag, wie band es uns so rein genau?"|"Ach, du warst in abgelebten Zeiten"|"meine Schwester oder meine Frau.
124;Der Prophet;Schade, dass die Natur nur Einen Menschen aus dir schuf,"|"Denn zum würdigen Mann war und zum Schelmen der Stoff.;Vorn herein liest sich das Lied nicht zum besten, ich les es von hinten,"|"Strophe für Strophe, und so nimmt es ganz artig sich aus.
125;Demut;Seh ich die Werke der Meister an,"|"So seh ich das, was sie getan,;Betracht ich meine Siebensachen,"|"Seh ich, was ich hätt sollen machen.
126;Ins Einzelne;Seit vielen Jahren hab ich still"|"Zu eurem Tun geschwiegen,"|"Das sich am Tag und Tageswill"|"Gefällig mag vergnügen."|"Ihr denkt, woher der Wind auch weht"|"Zu Schaden und Gewinne,;Wenn es nach eurem Sinne geht,"|"Es ging nach einem Sinne."|"Du segelst her, der andre hin,"|"Die Woge zu erproben,"|"Und was erst eine Flotte schien,"|"Ist ganz und gar zerstoben.
127;Aphorismus;Sich auf ein Handwerk zu beschränken, ist das Beste.;Sich in seiner Beschränktheit gefallen, ist ein elender Zustand, in Gegenwart des Besten seine Beschränktheit fühlen, ist freilich ängstlich, aber...
128;Der Purist;Sinnreich bist du, die Sprache von fremden Wörtern zu säubern,"|"Nun so sage doch, Freund, wie man Pedant uns verdeutscht.;Setze nur immer Mottos auf deine Journale, sie zeigen"|"Alle die Tugenden an, die man an dir nicht bemerkt.
129;Vielrat;Spricht man mit jedermann,"|"Da hört man keinen,"|"Stets wird ein andrer Mann"|"Auch anders meinen.;Was wäre Rat sodann"|"Vor unsern Ohren?"|"Kennst du nicht Mann für Mann,"|"Du bist verloren.
130;J-b;Steil wohl ist er, der Weg zur Wahrheit, und schlüpfrig zu steigen,"|"Aber wir legen ihn doch nicht gern auf Eseln zurück.;Töchtern edler Geburt ist dieses Werk zu empfehlen,"|"Um zu Töchtern der Lust schnell sich befördert zu sehn.
131;Lebensart;Über Wetter- und Herrenlaunen"|"Runzle niemals die Augenbraunen,;Und bei den Grillen der hübschen Frauen"|"Musst du immer vergnüglich schauen.
132;Aphorismus;Um einen Gegenstand ganz zu besitzen, zu beherrschen, muss man ihn um seiner selbst willen studieren.;Um zu begreifen, dass der Himmel überall blau ist, braucht man nicht um die Welt zu reisen.
133;Aphorismus;Und so gewohnt, für andere zu leben,"|"schien Mühe nur ihm Fröhlichkeit zu geben.;Man muss immerfort verändern, erneuern, verjüngen, um nicht zu verstocken.
134;Aphorismus;Und solang du das nicht hast,"|"dieses Stirb und Werde,"|"bist du ein trüber Gast,"|"auf der dunklen Erde.;Willst du nach den Früchten greifen,"|" Eilig nimm dein Teil davon!"|" Diese fangen an zu reifen,"|" Und die andern keimen schon.
135;;Und wir scheinen uns nur halb beseelet,"|"dämmernd ist um uns der hellste Tag."|"Glücklich, dass das Schicksal, das uns quälet,"|"uns doch nicht verändern mag!;Und von allem dem schwebt ein Erinnern"|"nur noch um das ungewisse Herz,"|"fühlt die alte Wahrheit ewig gleich im Innern,"|"und der neue Zustand wird ihm Schmerz.
136;Aphorismus;Unschuldige Liebe erfreut die Gottheit, statt sie zu beleidigen.;Was man nicht versteht, besitzt man nicht.
137;Das Motto;Wahrheit sag ich euch, Wahrheit und immer Wahrheit, versteht sich:"|"Meine Wahrheit,;denn sonst ist mir auch keine bekannt.
138;;Warum gabst du uns die tiefen Blicke,"|"unsre Zukunft ahndungsvoll zu schaun,"|"unsrer Liebe, unsrem Erdenglücke"|"wähnend selig nimmer hinzutraun.;Warum gabst uns, Schicksal, die Gefühle,"|"uns einander in das Herz zu sehn,"|"um durch all die seltenen Gewühle"|"unser wahr Verhältnis auszuspähn.
139;Problem;Warum ist alles so rätselhaft?"|"Hier ist das Wollen, hier ist die Kraft,;Das Wollen will, die Kraft ist bereit,"|"Und daneben die schöne lange Zeit."|"So seht doch hin, wo die gute Welt"|"Zusammenhält!"|"Seht hin, wo sie auseinanderfällt!
140;Den Zudringlichen;Was nicht zusammengeht, das soll sich meiden!"|"Ich hindr euch nicht, wos euch beliebt, zu weiden:"|"Denn ihr seid neu und ich bin alt geboren."|"Macht, was ihr wollt,;nur lasst mich ungeschoren!
141;Geschwindschreiber;Was sie gestern gelernt, das wollen sie heute schon lehren.;Ach! was haben die Herrn doch für ein kurzes Gedärm!
142;Der Teleolog;Welche Verehrung verdient der Weltenschöpfer, der gnädig"|"Als er den Korkbaum schuf, gleich auch die Stöpsel erfand!;Wollt ihr zugleich den Kindern der Welt und den Frommen gefallen?"|"Malet die Wollust "|" nur malet den Teufel dazu.
143;Das Beste;Wenn dirs in Kopf und Herzen schwirrt,"|"Was willst du Bessres haben!"|"Wer nicht mehr liebt und nicht mehr irrt,"|"Der lasse sich begraben!;Glücklich, den ein leerer Traum beschäftigt!"|"Glücklich, dem die Ahndung eitel wär!"|"Jede Gegenwart und jeder Blick bekräftigt"|"Traum und Ahndung leider uns noch mehr.
144;Breit wie lang;Wer bescheiden ist, muss dulden,"|"Und wer frech ist, der muss leiden,;Also wirst du gleich verschulden,"|"Ob du frech seist, ob bescheiden.
145;Aphorismus;Wer das Geld bringt, kann die Ware nach seinem Sinn verlangen.;Nur durch Eifersucht auf den Besitz erhält man die Besitztümer.
146;Die Mitarbeiter;Wie sie Glieder verrenken, die Armen! Aber nach dieser"|"Pfeife zu tanzen, es ist auch beim Apollo! kein Spaß.;Wird der Poet nur geboren"|" Der Philosoph wirds nicht minder,"|"Alle Wahrheit zuletzt wird nur gebildet, geschaut.
147;Aphorismus;Willst du dich am Ganzen erquicken,"|"so musst du das Ganze im kleinen erblicken.;Willst du ins Unendliche schreiten,"|"Geh nur im Endlichen nach allen Seiten.
148;Lebensregel;Willst du dir ein hübsch Leben zimmern,"|"Musst dich ums Vergangne nicht bekümmern,;Das Wenigste muss dich verdrießen."|"Musst stets die Gegenwart genießen,"|"Besonders keinen Menschen hassen"|"Und die Zukunft Gott überlassen.
149;Aphorismus;Wo viel Licht ist, ist starker Schatten."|"Denn Beschränkung ist überall unser Los.;Der Mensch ist ein beschränktes Wesen, unsere Beschränkung zu überdenken, ist der Sonntag gewidmet.
150;Elegie;Wonniglich ists die Geliebte verlangend im Arme zu halten"|"Wenn ihr klopfendes Herz Liebe zuerst dir gesteht.;Wonniglicher, das Pochen des Neulebendigen fühlen,"|"Das in dem lieblichen Schoß immer sich nährend bewegt.
